REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
/tmp/tp71974e67_6e11_46e6_a31a_d7dff8aa3683.wav	 /tmp/tpd3cc76f1_dc2b_49d0_b54c_ca97140fa8ea.wav	 1.493	 1.323	 8000	nb
/tmp/tpd0f8bc8f_ca14_4ca1_bf62_cae939eb10a7.wav	 /tmp/tpc06cd0d3_8838_46a3_9506_4f6ae1ca1bee.wav	 2.237	 1.844	 8000	nb
/tmp/tpffebf5ec_0f76_433f_9fd2_c6b611b1677a.wav	 /tmp/tp294b8a36_aa4e_4f83_9b28_f4376d2ada40.wav	 1.487	 1.320	 8000	nb
/tmp/tp225385f0_80a9_4fa1_bca5_b3b83ab597d4.wav	 /tmp/tpa3bc96a5_adee_452d_bc47_ba038d03b0bb.wav	 2.082	 1.700	 8000	nb
/tmp/tp083e2344_be93_4677_8753_1d2b93e38886.wav	 /tmp/tp4dcd78c8_e9f8_422d_99f2_811f92fa76d8.wav	 1.475	 1.315	 8000	nb
/tmp/tp19a7fd6f_93a1_4826_825b_e53767ddb5b8.wav	 /tmp/tpb8d3dbb3_8a3a_4f7d_a8c5_c3d763a14efa.wav	 2.118	 1.731	 8000	nb
/tmp/tp93c637d4_91ab_484c_aa0e_8833439adf1c.wav	 /tmp/tpd68e7e42_e83c_4cae_81c3_3a2f281dc6b2.wav	 1.482	 1.318	 8000	nb
/tmp/tp0db4cb96_7f90_4dcd_88f3_893789b17acb.wav	 /tmp/tp41141602_f7d8_4139_bf55_4a43d67c62ef.wav	 2.051	 1.674	 8000	nb
/tmp/tpf9029b9c_fbf9_472f_bbe0_36b6e0e88677.wav	 /tmp/tpee8e7955_06fe_46a4_8040_d970edb0d724.wav	 1.494	 1.323	 8000	nb
/tmp/tp9afedada_6252_4d4e_925f_ffdc5f1d1dea.wav	 /tmp/tp8ce79b7f_5c8c_4b27_8aae_12caa3100682.wav	 2.082	 1.700	 8000	nb
/tmp/tpc17b23e0_dce5_443a_839b_738abc8abb27.wav	 /tmp/tp52c298ef_7556_4bc5_905c_070677476f4c.wav	 1.486	 1.320	 8000	nb
/tmp/tpfd629bfa_ec6b_4517_86c3_a0a30efd0488.wav	 /tmp/tp8a549d34_c3a5_4815_bc68_8c2ca56fa9cb.wav	 1.952	 1.595	 8000	nb
/tmp/tpe27d5811_f9e9_4cd7_b975_790f0b364b49.wav	 /tmp/tp66ea8190_7e83_4e11_bc70_48628aabf87c.wav	 1.481	 1.318	 8000	nb
/tmp/tp2b1afd90_281f_4f3b_ac4a_4edb9f4d1f80.wav	 /tmp/tpabd44bc4_ae5b_4f33_ad8e_c085a22d5cca.wav	 1.881	 1.543	 8000	nb
/tmp/tp4ec1506d_4d8e_4c17_abcd_654e6e6d0c52.wav	 /tmp/tp0ad2d478_378f_434d_9922_e9b126eea3b0.wav	 1.500	 1.326	 8000	nb
/tmp/tp89802eb3_7788_439d_8852_a98793177b72.wav	 /tmp/tpa121b80c_4b7a_4165_baa1_1fb56895b8b5.wav	 2.201	 1.808	 8000	nb
/tmp/tp265fa0d6_f987_448f_82c0_47a3b015b6ee.wav	 /tmp/tp033a13c2_17ba_4b39_b69d_701c81a8e2f4.wav	 1.503	 1.327	 8000	nb
/tmp/tpc25715d3_8da5_4684_9596_de5387ed1805.wav	 /tmp/tpb6c9e9bb_607c_471f_be52_ae5660a62f43.wav	 1.870	 1.535	 8000	nb
/tmp/tpebf17c9f_90c7_44b0_8f79_a0b24cdb35dd.wav	 /tmp/tpa751359f_81e4_48cd_aeab_8a28a6a72d4d.wav	 1.478	 1.316	 8000	nb
/tmp/tp0be6ef90_cd93_4a53_8451_f3cbbf5405e0.wav	 /tmp/tp755f7adf_3c2c_41b1_9c86_50a0a2d02ffb.wav	 2.055	 1.677	 8000	nb
/tmp/tp815dd31f_ca15_4aee_96e6_11bf95a4de0d.wav	 /tmp/tpa98cc42c_6929_43fe_8d87_f6b9199484ba.wav	 1.470	 1.313	 8000	nb
/tmp/tpf1fb9d8a_c858_4046_9b75_6ba8e26042fa.wav	 /tmp/tpb002d578_a6b5_493b_a8c2_6014fcf4322b.wav	 1.779	 1.475	 8000	nb
/tmp/tp1723e9b7_a719_425d_8b18_9c5b5f98cf88.wav	 /tmp/tpa3ea3e63_e740_4a33_bd7d_45f414245065.wav	 1.500	 1.326	 8000	nb
/tmp/tp36ec83c5_1e2f_45db_a6ba_31f1878984fc.wav	 /tmp/tp54216bca_95f8_4b41_988c_bf2914a3f19d.wav	 2.224	 1.831	 8000	nb
/tmp/tpb75c7638_1db8_4de1_8464_519541df8fd3.wav	 /tmp/tpb2c9d2c6_89ec_4145_a89a_f52902a3256c.wav	 1.468	 1.312	 8000	nb
